Name_MOF_CoRE_1272,PLD_angstrom,LCD_angstrom,unit_cell_volume_angstrom3,void_fraction,Henry's constant: mol/(m^3 Pa),D0 in a: m^2/s,D0 in b: m^2/s,D0 in c: m^2/s
VUPFIX_clean,2.42807,3.59876,1650.92,0.3071,1.0823442624,4.60E-15,0,0
VUQJUN01_clean,9.79399,11.31517,4959.46,0.6621,0.44917054566,9.50E-08,1.21E-07,0
VUQJUN_clean,9.76446,11.30109,4959.46,0.662,0.44480888517,5.20E-08,1.27E-07,0
VUQKAU01_clean,3.9342,5.01924,2810.66,0.54682,2.3973759134,6.51E-11,0,6.64E-08
VUQKAU02_clean,3.97403,5.11031,2846.73,0.55048,2.1833286591,7.23E-08,7.24E-09,0
VUQKAU_clean,4.06487,5.25865,2919.42,0.56538,1.6687426515,0,1.00E-08,0
VUQKOI_clean,5.23659,6.95342,3170.01,0.49072,0.24894656818,0,0,1.55E-08
VUQKUO_clean,3.56988,5.02873,5668.18,0.46738,1.5950035115,2.31E-283,0,0
VUQLEZ_charged,2.25865,3.26602,3349.05,0.29086,2.2442948698,0,0,0
VURLIF_clean,4.148,5.47953,3810.34,0.65518,0.4002321069,0,4.03E-08,3.75E-08
VURNED01_clean,6.84874,7.5683,2203.13,0.6306,1.1355918243,5.70E-08,0,7.52E-08
VURNED02_clean,6.92556,7.62301,2212.49,0.63192,1.0778328879,7.09E-08,2.64E-08,7.32E-08
VURNED03_clean,7.01396,7.67615,2218.8,0.63316,1.0660074429,7.08E-08,2.58E-08,1.39E-08
VURNED04_clean,7.36404,8.06186,2300.65,0.64954,0.99471622249,6.12E-08,4.08E-08,3.20E-08
VURNED_clean,7.18089,7.97507,2247.42,0.64136,1.0803583552,7.04E-08,2.89E-08,5.75E-08
VURYIR_clean,3.13916,3.8441,1392.92,0.38934,0.48235085632,0,0,0
VURYOX_clean,5.5678,6.2972,1593.97,0.47644,0.091312219249,8.21E-09,0,0
VUSJUP_clean,8.41786,14.78984,4193.89,0.83784,0.0134244527,3.65E-09,3.58E-09,1.13E-09
VUSKAW_clean,7.76077,14.94807,4299.69,0.7972,0.029971291762,1.89E-08,1.91E-08,2.96E-08
VUSKEA_clean,7.85439,14.93012,4299.69,0.79734,0.029934570826,1.95E-08,5.34E-08,3.00E-08
VUSKIE_clean,7.64091,14.78678,8387.75,0.81754,0.049562709091,1.53E-07,7.18E-09,6.06E-08
VUSQIK_charged,4.20939,4.90146,9144.97,0.40842,0.16545814451,0,0,4.30E-21
VUTVAJ_clean,3.10545,4.08571,1603.5,0.53638,1.0398466152,3.30E-18,0,1.38E-18
VUVZAP_clean,3.22568,4.22725,1884.47,0.5421,1.9891080178,1.97E-20,3.90E-39,7.66E-46
VUWPIN_clean,2.2687,7.60847,7225.88,0.51654,0.034588268784,0,1.66E-43,2.19E-43
VUWROW_clean,5.80623,7.10727,1788.05,0.66064,1.088952442,2.53E-09,1.41E-08,1.71E-08
VUWRUC_clean,6.13841,8.69814,5299.98,0.57896,0.88584282996,1.59E-09,0,0
VUWSAJ_clean,3.69691,5.39237,2785.35,0.60204,0.99148851488,3.40E-08,1.35E-08,1.29E-08
VUZNOV_clean,4.89479,7.1075,9696.02,0.66002,0.30355982672,0,0,0
VUZVER_clean,2.71416,3.50125,518.261,0.31776,2.984944548,0,0,8.80E-09
WABTOK_clean,3.87808,4.86756,1188.64,0.59086,0.098565531996,3.52E-15,3.28E-15,8.10E-08
WABVIF01_clean,4.08224,5.80139,993.281,0.62826,0.060167337411,1.35E-07,1.77E-07,1.85E-07
WABVIF02_clean,3.931,5.7635,952.311,0.61532,0.075713517577,1.42E-07,7.15E-08,1.56E-07
WABVIF03_clean,3.84184,4.65401,932.697,0.60672,0.084084712849,1.46E-07,1.19E-07,1.50E-07
WABVIF04_clean,4.21043,5.86407,1031.05,0.63946,0.049618056826,2.12E-07,6.58E-08,1.87E-07
WABVIF_clean,4.19412,5.74514,1023.77,0.63522,0.051450864097,2.10E-07,2.10E-07,1.84E-07
WABVOL_clean,4.36305,7.67865,2975.3,0.5578,0.054837947128,1.34E-08,1.35E-08,1.34E-08
WABVUR_clean,4.34798,9.42595,2938.22,0.61862,0.052602755423,3.93E-08,3.94E-08,3.94E-08
WABWAY_clean,4.34505,9.43417,2993.02,0.6174,0.047843069325,4.15E-08,4.18E-08,4.18E-08
WABWEC_clean,4.34734,9.42811,3066,0.63508,0.041467083598,3.79E-08,3.80E-08,3.76E-08
WACKOB_clean,2.52221,3.89934,3137.54,0.46402,0.39640895454,9.85E-15,1.96E-13,0
WACLEU_clean,4.84073,5.93673,1253.93,0.56516,0.55093159978,1.43E-72,3.85E-08,2.24E-28
WAFKAQ_clean,5.44708,8.00397,2183.49,0.63558,0.39256780484,1.63E-08,2.22E-08,3.14E-08
WAFKEU03_clean,6.42561,9.20791,2271.41,0.74156,0.087899191891,1.30E-07,1.30E-07,4.12E-08
WAFKEU05_clean,7.61219,9.13426,1151.8,0.63994,6.8221663775,9.77E-09,9.78E-09,2.29E-08
WAFKEU06_clean,7.60706,9.13058,1151.53,0.64004,6.8210763176,5.05E-09,2.59E-08,2.32E-08
WAFKEU07_clean,7.60158,9.12999,1151.07,0.64082,7.1353692361,4.91E-09,2.52E-08,2.38E-08
WAFKIY_clean,7.01064,7.61691,2228.34,0.63534,0.81184801858,4.84E-08,5.78E-08,2.78E-08
WAGDAL_clean,3.72374,5.07281,5276.3,0.39802,3.1284177313,0,0,1.16E-08
WAGLEY_clean,2.66546,4.42409,1136.72,0.36794,4.1440394818,0,1.09E-13,0
WAGPOM_clean,3.52786,5.8121,2333.62,0.52414,0.78935625814,6.90E-09,0,2.72E-136
WAGQAY_clean,14.92609,23.81818,49617.8,0.84686,0.059582564935,0,0,2.52E-08
WAGZEL_clean,2.99365,3.85823,1655.44,0.38104,2.1560262901,8.49E-11,0,0
WAHDIT_clean,5.27055,5.38026,6158.55,0.34454,0.32724920428,0,0,1.35E-07
WAHFUJ01_clean,3.43783,4.5629,2344.67,0.43794,1.2067228526,0,9.39E-09,0
WAHGIY_clean,4.00753,4.97722,2491.5,0.43242,1.6971006457,0,1.88E-08,0
WAHKUO_clean,6.77042,15.93977,9551.61,0.7334,0.17452498264,2.98E-08,2.98E-08,2.95E-08
WAHMEY01_clean_h,2.04555,3.81796,1514.25,0.29756,5.3902003818,1.21E-42,0,0
WAHMEY_clean,3.11068,4.09014,1478.49,0.32796,3.5317781501,0,0,1.03E-08
WAHMUP_clean,6.26439,6.97803,1107.12,0.59682,0.088295802336,3.17E-09,5.56E-108,2.76E-31
WAHNEB_clean,6.40848,15.70575,9579.32,0.75426,0.15652916513,3.53E-09,1.67E-09,1.14E-09
WAHNIF_clean,6.55673,15.77879,9481.01,0.73222,0.18937367585,9.92E-09,9.94E-09,9.91E-09
WAHNOL_clean,6.77964,15.93572,9512.23,0.75364,0.16464788268,2.50E-08,2.42E-08,3.13E-08
WAHNUQ_charged,3.43065,4.83181,6336.52,0.42448,0.48446230844,0,0,1.54E-75
