ABAVIJ_clean.cif 108
ABAYIO_clean.cif 168
ABAYOU_clean.cif 168
ABEFUL_clean.cif 178
ABESUX_clean.cif 50
ABETAE_clean.cif 50
ABETIN_clean.cif 392
ABEXEM_clean.cif 144
ABEXEN_clean.cif 480
ABEXIQ_clean.cif 144
ABEXOW_clean.cif 144
ABEXUC_clean.cif 144
ABEYAJ_clean.cif 144
ABEYEN_clean.cif 144
ABEYIR_clean.cif 144
ABIXOZ_clean.cif 75
ABIYIV_clean.cif 356
ABULOB_clean.cif 92
ABUWOJ_clean.cif 224
ac403674p_si_001_clean.cif 210
ACAJIY_clean.cif 128
ACAJIZ_clean.cif 116
ACAJOF_clean.cif 244
ACAKUM_clean.cif 152
ACALIB_clean.cif 152
ACECIV_ion_b.cif 228
ACIBIY_clean.cif 324
ACIBOE_clean.cif 160
ACODON_clean.cif 176
ACODUT_clean.cif 218
ACOGAB_clean.cif 174
ACOGEF_clean.cif 174
ACOLEL_clean.cif 550
ACOLIP_clean.cif 102
ACOLOV_clean.cif 456
acs.cgd.5b01554_VAGNUP1452791_clean.cif 392
acs.cgd.5b01686_WAHFUJ1434675_clean.cif 164
acs.cgd.6b00163_UKEBOD1448508_clean.cif 230
acs.cgd.6b00463_OLOMUZ1451936_clean.cif 348
acs.chemmater.5b03723_cm5b03723_si_004_clean.cif 1260
acs.chemmater.5b03723_cm5b03723_si_005_clean.cif 996
acs.chemmater.6b02817_cm6b02817_si_004_clean.cif 416
acs.chemrev.6b00346_cr6b00346_si_001_clean.cif 198
acs.inorgchem.5b02108_ic5b02108_si_002_clean.cif 72
acs.inorgchem.5b02378_ic5b02378_si_002_clean.cif 190
acs.inorgchem.5b02973_ic5b02973_si_002_clean.cif 183
acs.inorgchem.6b00081_ic6b00081_si_001_clean.cif 306
acs.inorgchem.6b00136_ic6b00136_si_002_clean.cif 142
acs.inorgchem.6b00276_ic6b00276_si_006_clean.cif 3036
acs.inorgchem.6b00433_ic6b00433_si_002_clean.cif 146
acs.inorgchem.6b00894_ic6b00894_si_002_clean.cif 282
acs.inorgchem.6b00894_ic6b00894_si_003_clean.cif 564
acs.inorgchem.6b01211_ic6b01211_si_002_clean.cif 150
acs.inorgchem.6b01416_ic6b01416_si_004_clean.cif 148
acs.inorgchem.6b01569_ic6b01569_si_002_clean.cif 164
acs.inorgchem.6b01740_ic6b01740_si_002_clean.cif 330
acs.inorgchem.6b01762_ic6b01762_si_002_clean.cif 370
acs.inorgchem.6b02407_ic6b02407_si_002_clean.cif 144
acs.inorgchem.6b02407_ic6b02407_si_003_clean.cif 144
acs.inorgchem.6b02413_ic6b02413_si_002_clean.cif 178
acs.inorgchem.6b02514_ic6b02514_si_002_clean.cif 124
acs.inorgchem.6b02696_ic6b02696_si_002_clean.cif 708
acs.jchemed.6b00258_ed6b00258_si_005_clean.cif 94
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean.cif 114
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean.cif 106
acscombsci.5b00188_24205_clean.cif 39
acscombsci.5b00188_3001288_clean.cif 197
acscombsci.5b00188_34903_clean.cif 56
acscombsci.5b00188_5013797_clean.cif 167
acscombsci.5b00188_5020072_clean.cif 93
acscombsci.5b00188_5024922_clean.cif 109
acscombsci.5b00188_5036495_clean.cif 62
acscombsci.5b00188_5040209_clean.cif 66
acscombsci.5b00188_8372_clean.cif 45
ACUBAB_clean.cif 78
ACUFEK_clean.cif 744
ACUJOZ_manual.cif 426
ACUTOI_clean.cif 248
ADABIS_clean.cif 94
ADABUE_clean.cif 94
ADARAA_clean.cif 2112
ADASAB_charged.cif 1088
ADASEF_clean.cif 776
ADASIJ_clean.cif 552
ADASOP_clean.cif 552
ADASUV_clean.cif 560
ADATAC_clean.cif 840
ADATEG_manual.cif 1160
ADATIK_clean.cif 872
ADATOQ_clean.cif 346
ADATUW_clean.cif 346
ADAVAE_clean.cif 346
ADAVEI_clean.cif 346
ADAVIM_clean.cif 334
ADAXEK_clean.cif 56
ADAXIO_clean.cif 112
ADEGIA_clean.cif 50
ADEGIA01_clean.cif 50
ADIQEL_clean.cif 70
ADOBAX_charged.cif 274
ADOBEB_charged.cif 274
ADOBIF_clean.cif 256
ADOBOL_charged.cif 274
ADOBUR_charged.cif 274
ADOCEC_clean.cif 248
ADODAA_charged.cif 272
ADODII_clean.cif 113
ADODOO_clean.cif 113
ADODUU_clean.cif 113
ADOGEH_clean.cif 228
ADUROI_clean.cif 2112
ADUWIH_clean.cif 444
ADUWON_clean.cif 438
AFEDIA_clean.cif 119
AFEJOK_ion_b.cif 107
AFENEE_clean.cif 156
AFIPAH_clean.cif 56
AFITEP_clean.cif 98
AFITUF_clean.cif 468
AFIXAO_clean.cif 340
AFIXES_clean.cif 340
AFOQUI_clean.cif 138
AFOTOF_clean.cif 80
AFOTUL_clean.cif 80
AFOVAT_clean.cif 80
AFOVEX_clean.cif 80
AFOVIB_clean.cif 80
AFOVOH_clean.cif 80
AFOYAW_clean.cif 128
AFOYEB_clean.cif 152
AFOYIE_clean.cif 100
AFOYOK_clean.cif 124
AFUKET_clean.cif 560
AFUKIX_clean.cif 550
AFUPEX_clean.cif 76
AGABIU_clean.cif 118
AGARUW_clean.cif 128
AGAYIQ_clean.cif 128
AGAYOW_clean.cif 300
AGESIP_clean.cif 46
AGIMOU_clean.cif 74
AGIREP_clean.cif 480
AGOFEJ_clean.cif 904
AGONAM_clean.cif 88
AGONEQ_clean.cif 84
AGOVOJ_clean.cif 256
AGUBUA_clean.cif 92
AGUTUS_clean.cif 116
AGUVOO_charged.cif 560
AGUWUV_clean.cif 51
AHAMAY_clean.cif 100
AHEBAS_clean.cif 178
AHEQAH_clean.cif 110
AHINIP_clean.cif 260
AHIYOH_clean.cif 596
AHIYUN_clean.cif 904
AHOBEG_clean.cif 126
AHOJUC_clean.cif 36
AHOKAJ_clean.cif 36
AHOKIR_clean.cif 14
AHOKIR01_clean.cif 22
AHOKOX_clean.cif 30
AHOZAA_clean.cif 632
AHUFIU_clean.cif 508
AHUTIH_clean.cif 64
AHUTIH01_clean.cif 72
AJAKON_clean.cif 330
AJAMEF_clean.cif 164
AJAYIT_clean.cif 178
AJIGIL_clean.cif 736
AJINOY_clean.cif 118
AJOTEY_clean.cif 76
AJOVEB_clean.cif 246
AJOXAA_clean.cif 164
AJUNOK_clean.cif 384
AKEDIF_clean.cif 110
AKOBAF_clean.cif 178
AKOHEO_clean.cif 154
AKOXIJ_clean.cif 574
AKUHOD_clean.cif 58
AKUHOD01_clean.cif 58
AKUHOD03_clean.cif 66
AKUKUO_clean.cif 97
ALAHUS_clean.cif 340
ALALUU_clean.cif 54
ALALUU01_clean.cif 58
ALAMUW_clean.cif 150
ALANAD_clean.cif 400
ALATAK_clean.cif 26
ALEJAE_clean.cif 408
ALEJEI_clean.cif 600
ALEJIM_clean.cif 600
ALEQIT_clean.cif 150
ALIBUT_clean.cif 258
ALICAA_clean.cif 258
ALIFUY_clean.cif 200
ALIPEQ_clean.cif 78
ALIXAU_clean_h.cif 251
ALIXOJ_clean.cif 152
ALIXUP_clean.cif 160
ALOLES_ion_b.cif 268
ALOLET_charged.cif 822
ALOLIX_charged.cif 768
ALOLIY_clean.cif 140
ALOLOD_charged.cif 1134
ALONEV_clean.cif 504
ALUJEX_clean.cif 312
ALUJIB_clean.cif 306
ALUJOH_clean.cif 300
ALUJUN_clean.cif 50
ALUKAU_clean.cif 50
ALUKIC_clean.cif 172
ALUKOI_clean.cif 172
ALUKUO_clean.cif 172
ALULAV_clean.cif 172
ALULEZ_clean.cif 684
ALULID_clean.cif 172
ALURAB_clean.cif 358
ALUREF_clean.cif 358
ALURIJ_clean.cif 358
am301365h_si_002_clean.cif 150
AMAFOK_clean.cif 75
AMAGAX_clean.cif 300
AMALND_clean.cif 92
AMEJOS_charged.cif 286
AMIKOX_clean.cif 204
AMILOY_clean.cif 544
AMILUE_clean.cif 272
AMIMAL_clean.cif 544
AMIMEP_clean.cif 272
AMIWID_clean.cif 128
AMIWOJ_clean.cif 128
AMIWUP_clean.cif 128
AMIXAW_clean.cif 128
